Prompt,Completion
Necesito acceso a las carpetas compartidas de mi servicio,La solicitud de acceso a carpetas compartidas tiene que hacerla por el sistemas de tickets ROSI. Eligiendo la opción Acceso a servidores
Quiero estar dado de alta en gexflow en las unidades de mi Servicio,El alta en Gexflow se solicita desde el formulario ubicado en la intranet. Le paso la dirección: https://intranet.ayto-murcia.es/web/administracion-electronica/altabajausuariosgexflow.
No estoy dado de alta en el programa Reyex,"El alta en el programa Reyex se solicita desde Rosi, seleccionando la opción de Altas, bajas y mopdificaciones en Reyex"
Quiero el alta para acceder por VPN,Las solicitudes de alta por VPN se deben solicitar al servicio de personal
No veo mis iconos en el escritorio,Seguramente esté en al sesión de otro usuario. Cierre la sesión y entre con su usuario. Recuerde poner ayto-murcia\ delante de su usuario si su equipo está en dominio
Solicito la instalación de Microsoft Office,"El software municipal es LibreOffice y para poder interactuar sin problemas dentro de la corporación es recomendable utilizarlo entre compañeros. No obstante, si su servicio adquiere la licencia, ponga un ticket en ROSI y un técnico se lo instalará"
Quiero que se instale Autocad en mi equipo para realizar mi trabajo,"Desde el servicio de Informática no se compran licencias de Autocad. Le recomendamos utilizar Bricscad, el cual tenemos licenciado y se lo instalaremos sin problemas. Debe solicitarlo mediante un ticket de ROSI"
Solicitud de alta en VPN para personal externo al Ayuntamiento,"Para el acceso de personal externo, de empresa, a la red municipal el responsable municipal del proyecto, crear un ticket en ROSI adjuntando el documento del siguiente enlace https://www.murcia.es/web/portal/normativa-uso-sistemas-informacion. Debe estar firmado por la persona que accederá a la red municipal."
"En gexflow me sale el siguiente mensaje de error al contestar solicitud, Se produjo un error al tratar de procesar el mensaje. Póngase en contacto con el administrador",La solución sería que reiniciaran el expediente desde donde se originó la solicitud de Informe
Por cambio de mesas pequeñas a unas más grandes necesitamos 3 alargadores de 2 metros para la conexión de los ordenadores,Los alargadores debe comunicarselo al Servicio de mantenimiento eléctrico
No recuerdo la contraseña de mi certificado,"Si tiene uan copia del certificado, puede eliminrlo y volver a instalarlo. En este caso le pedirá la contraseña de instalación y posteriormente podrá poner una nueva contraseña para firmar. En caso contrario, debe poner un ticket en ROSI para que se le cree uno nuevo"
¿Cómo puedo abrir un documento en LibreOffice Writer?,"Para abrir un documento en LibreOffice Writer, sigue estos pasos: Haz clic en Archivo en la barra de menú y selecciona Abrir. Luego, navega hasta la ubicación del archivo y haz clic en Abrir."
¿Cómo puedo cambiar el formato de fuente en LibreOffice Writer?,"Para cambiar el formato de fuente en LibreOffice Writer, selecciona el texto que deseas cambiar y luego utiliza la barra de herramientas 'Formato de fuente' en la parte superior de la ventana. Puedes ajustar el tipo de fuente, el tamaño, el estilo (negrita, cursiva, subrayado, etc.) y otros atributos de formato."
¿Cómo puedo agregar una tabla en LibreOffice Writer?,"Para agregar una tabla en LibreOffice Writer, haz clic en 'Insertar' en la barra de menú y selecciona 'Tabla'. Luego, elige el número de filas y columnas que deseas y haz clic en 'Aceptar'. La tabla se insertará en el lugar donde tengas el cursor."
¿Cómo puedo guardar un documento en LibreOffice Writer en formato PDF?,"Para guardar un documento en formato PDF en LibreOffice Writer, haz clic en 'Archivo' en la barra de menú y selecciona 'Exportar como PDF'. Luego, selecciona la ubicación donde deseas guardar el archivo, ingresa un nombre de archivo y haz clic en 'Guardar'."
¿Cómo puedo aplicar estilos de formato en LibreOffice Writer?,"Para aplicar estilos de formato en LibreOffice Writer, selecciona el texto al que deseas aplicar el estilo y luego utiliza la barra de herramientas 'Estilos y formato' en la parte superior de la ventana. Puedes elegir entre una variedad de estilos predefinidos o crear tus propios estilos personalizados."
¿Cómo puedo insertar una imagen en LibreOffice Writer?,"Para insertar una imagen en LibreOffice Writer, haz clic en 'Insertar' en la barra de menú y selecciona 'Imagen'. Luego, navega hasta la ubicación de la imagen en tu computadora y haz clic en 'Abrir'. La imagen se insertará en el lugar donde tengas el cursor."
¿Cómo puedo agregar encabezados y pies de página en LibreOffice Writer?,"Para agregar encabezados y pies de página en LibreOffice Writer, haz clic en 'Insertar' en la barra de menú y selecciona 'Encabezado' o 'Pie de página'. Luego, puedes escribir el texto del encabezado o pie de página y personalizar su formato utilizando las opciones disponibles."
¿Cómo puedo crear una lista numerada en LibreOffice Writer?,"Para crear una lista numerada en LibreOffice Writer, selecciona el texto al que deseas aplicar la numeración y haz clic en el botón 'Numeración' en la barra de herramientas. El texto se organizará automáticamente en una lista numerada."
¿Cómo puedo cambiar el tamaño de página en LibreOffice Writer?,"Para cambiar el tamaño de página en LibreOffice Writer, haz clic en 'Formato' en la barra de menú y selecciona 'Página'. Luego, en la pestaña 'Página', puedes elegir un tamaño predefinido de la lista desplegable o ingresar dimensiones personalizadas."
¿Cómo puedo sumar celdas en LibreOffice Calc?,"Para sumar celdas en LibreOffice Calc, selecciona la celda donde deseas mostrar el resultado y utiliza la fórmula '=SUMA(rango_de_celdas)'. Por ejemplo, '=SUMA(A1:A10)' suma los valores de las celdas A1 a A10."
¿Cómo puedo aplicar formato condicional en LibreOffice Calc?,"Para aplicar formato condicional en LibreOffice Calc, selecciona el rango de celdas al que deseas aplicar el formato. Luego, haz clic en 'Formato' en la barra de menú, selecciona 'Formato condicional' y elige la regla que deseas aplicar, como resaltar celdas mayores que un valor específico."
¿Cómo puedo filtrar datos en LibreOffice Calc?,"Para filtrar datos en LibreOffice Calc, selecciona el rango de celdas que deseas filtrar. Luego, haz clic en 'Datos' en la barra de menú, selecciona 'Filtro automático' y elige las condiciones de filtrado que deseas aplicar."
¿Cómo puedo crear un gráfico en LibreOffice Calc?,"Para crear un gráfico en LibreOffice Calc, selecciona el rango de celdas que deseas incluir en el gráfico. Luego, haz clic en 'Insertar' en la barra de menú, selecciona 'Gráfico' y elige el tipo de gráfico que deseas crear, como un gráfico de columnas o un gráfico circular."
¿Cómo puedo ordenar datos en LibreOffice Calc?,"Para ordenar datos en LibreOffice Calc, selecciona el rango de celdas que deseas ordenar. Luego, haz clic en 'Datos' en la barra de menú, selecciona 'Ordenar' y elige los criterios de ordenamiento, como ordenar por valores ascendentes o descendentes en una columna específica."
¿Cómo puedo proteger una hoja de cálculo en LibreOffice Calc?,"Para proteger una hoja de cálculo en LibreOffice Calc, haz clic en 'Herramientas' en la barra de menú, selecciona 'Proteger hoja' y establece una contraseña para proteger la hoja. Puedes elegir qué elementos se pueden editar o visualizar sin contraseña."
¿Cómo puedo crear una fórmula en LibreOffice Calc?,"Para crear una fórmula en LibreOffice Calc, selecciona la celda donde deseas ingresar la fórmula y comienza con el signo '=' seguido de la fórmula deseada. Por ejemplo, '=A1+B1' suma los valores de las celdas A1 y B1."
¿Cómo puedo realizar una búsqueda en LibreOffice Calc?,"Para realizar una búsqueda en LibreOffice Calc, utiliza la función 'BUSCAR' o 'BUSCARV'. Estas funciones te permiten buscar un valor específico en un rango de celdas y devolver el resultado correspondiente."
¿Cómo puedo aplicar formato numérico en LibreOffice Calc?,"Para aplicar formato numérico en LibreOffice Calc, selecciona las celdas que deseas formatear. Luego, haz clic con el botón derecho del ratón y selecciona 'Formato de celdas'. Desde allí, puedes elegir el formato numérico deseado, como formato de moneda o formato de porcentaje."
¿Cómo puedo importar datos desde un archivo CSV en LibreOffice Calc?,"Para importar datos desde un archivo CSV en LibreOffice Calc, haz clic en 'Archivo' en la barra de menú y selecciona 'Abrir'. Luego, navega hasta la ubicación del archivo CSV y haz clic en 'Abrir'. Aparecerá el 'Asistente de importación de texto' para ayudarte a configurar la importación de datos."
¿Cómo puedo solucionar problemas de conexión a Internet en Windows 10?,"Si estás experimentando problemas de conexión a Internet en Windows 10, puedes intentar los siguientes pasos: reiniciar el enrutador y el módem, verificar los cables de conexión, ejecutar el solucionador de problemas de red de Windows, actualizar los controladores de red y restablecer la configuración de red."
Mi pantalla en Windows 10 está volteada o en una orientación incorrecta. ¿Cómo puedo solucionarlo?,"Si la pantalla de tu Windows 10 está volteada o en una orientación incorrecta, puedes solucionarlo siguiendo estos pasos: presiona simultáneamente las teclas Ctrl + Alt + Flecha hacia arriba para restaurar la orientación normal de la pantalla."
¿Cómo puedo solucionar problemas de audio en Windows 10?,"Si estás experimentando problemas de audio en Windows 10, puedes intentar las siguientes soluciones: verificar los cables de los altavoces o auriculares, asegurarte de que el volumen esté activado y no esté silenciado, actualizar los controladores de audio, ejecutar la solución de problemas de audio de Windows y verificar la configuración de sonido en Windows."
Mi computadora con Windows 10 no se apaga correctamente. ¿Qué debo hacer?,"Si tu computadora con Windows 10 no se apaga correctamente, puedes intentar los siguientes pasos: cerrar manualmente todos los programas abiertos, asegurarte de que no haya actualizaciones pendientes, desactivar el inicio rápido, verificar los controladores y programas problemáticos, y realizar un reinicio en limpio."
Mi impresora no funciona en Windows 10. ¿Cómo puedo solucionarlo?,"Si tu impresora no funciona en Windows 10, puedes intentar los siguientes pasos: verificar la conexión de la impresora, reinstalar los controladores de impresora, ejecutar el solucionador de problemas de impresión de Windows, asegurarte de que la impresora esté establecida como impresora predeterminada y reiniciar tanto la impresora como la computadora."
Mi teclado no funciona correctamente en Windows 10. ¿Qué puedo hacer?,"Si tu teclado no funciona correctamente en Windows 10, puedes intentar los siguientes pasos: verificar si hay teclas bloqueadas o activadas como Bloq Mayús o Fn, reiniciar la computadora, probar el teclado en otro puerto USB, actualizar los controladores del teclado y, si es un teclado inalámbrico, asegurarte de que las pilas estén cargadas."
¿Cómo puedo establecer Google Chrome como mi navegador predeterminado?,"Para establecer Google Chrome como tu navegador predeterminado, sigue estos pasos: abre la configuración de Google Chrome haciendo clic en el menú de tres puntos en la esquina superior derecha, selecciona 'Configuración', desplázate hacia abajo y haz clic en 'Configuración avanzada', luego busca la sección 'Navegador predeterminado' y haz clic en 'Establecer como predeterminado'."
¿Cómo puedo borrar el historial de navegación en Google Chrome?,"Para borrar el historial de navegación en Google Chrome, presiona Ctrl + Shift + Supr para abrir la página 'Borrar datos de navegación', asegúrate de seleccionar la opción 'Historial de navegación' y elige el período de tiempo que deseas borrar. Luego, haz clic en 'Borrar datos'."
¿Cómo puedo abrir pestañas cerradas recientemente en Google Chrome?,"Para abrir pestañas cerradas recientemente en Google Chrome, puedes hacer clic con el botón derecho del ratón en la barra de pestañas y seleccionar 'Reabrir pestaña cerrada' o utilizar el atajo de teclado Ctrl + Shift + T para abrir la última pestaña cerrada."
¿Cómo puedo administrar las contraseñas guardadas en Google Chrome?,"Para administrar las contraseñas guardadas en Google Chrome, abre la configuración de Chrome, haz clic en 'Contraseñas' dentro de la sección 'Autocompletar' y verás una lista de las contraseñas guardadas. Desde allí, puedes ver, editar o eliminar las contraseñas guardadas."
¿Cómo puedo sincronizar mis marcadores en Google Chrome?,"Para sincronizar tus marcadores en Google Chrome, asegúrate de tener una cuenta de Google y estar conectado en Chrome. Luego, ve a la configuración de Chrome, haz clic en tu nombre de usuario y activa la opción 'Sincronizar' dentro de la sección 'Sincronización'. Los marcadores se sincronizarán automáticamente en todos los dispositivos donde hayas iniciado sesión."
¿Cómo puedo cambiar el tema de Google Chrome?,"Para cambiar el tema de Google Chrome, abre la configuración de Chrome, haz clic en 'Apariencia' y verás diferentes temas para elegir. Haz clic en el tema deseado y se aplicará automáticamente."
¿Cómo puedo administrar las notificaciones en Google Chrome?,"Para administrar las notificaciones en Google Chrome, abre la configuración de Chrome, haz clic en 'Privacidad y seguridad' y luego en 'Configuración de contenido'. Allí, busca la sección 'Notificaciones' y puedes bloquear o permitir las notificaciones de sitios web específicos."
¿Cómo puedo habilitar o deshabilitar las cookies en Google Chrome?,"Para habilitar o deshabilitar las cookies en Google Chrome, abre la configuración de Chrome, haz clic en 'Privacidad y seguridad' y luego en 'Configuración de contenido'. Busca la sección 'Cookies' y puedes habilitar o deshabilitar las cookies de acuerdo a tus preferencias."
¿Cómo puedo agregar una firma de correo electrónico en Mozilla Thunderbird?,"Para agregar una firma de correo electrónico en Mozilla Thunderbird, abre la configuración de Thunderbird, selecciona tu cuenta de correo electrónico y ve a la sección 'Firma'. Allí, puedes crear y personalizar tu firma, incluyendo tu nombre, información de contacto u otros detalles que desees agregar al final de tus correos electrónicos."
¿Cómo puedo organizar mis correos electrónicos en carpetas en Mozilla Thunderbird?,"Para organizar tus correos electrónicos en carpetas en Mozilla Thunderbird, haz clic con el botón derecho del ratón en la cuenta de correo electrónico en la barra lateral izquierda y selecciona 'Nueva carpeta'. Luego, asigna un nombre a la carpeta y podrás arrastrar y soltar los correos electrónicos a la carpeta correspondiente para mantenerlos organizados."
¿Cómo puedo buscar correos electrónicos en Mozilla Thunderbird?,"Para buscar correos electrónicos en Mozilla Thunderbird, puedes utilizar la barra de búsqueda en la parte superior de la ventana de Thunderbird. Ingresa las palabras clave o frases que deseas buscar y Thunderbird mostrará los resultados coincidentes en la lista de correos electrónicos."
¿Cómo puedo cambiar el tema o la apariencia de Mozilla Thunderbird?,"Para cambiar el tema o la apariencia de Mozilla Thunderbird, abre la configuración de Thunderbird, ve a la sección 'Apariencia' y selecciona el tema deseado de la lista de temas disponibles. También puedes personalizar la apariencia de Thunderbird utilizando complementos o temas descargados desde la página de complementos de Thunderbird."
¿Cómo puedo eliminar una cuenta de correo electrónico en Mozilla Thunderbird?,"Para eliminar una cuenta de correo electrónico en Mozilla Thunderbird, ve a la configuración de Thunderbird, selecciona la cuenta de correo electrónico que deseas eliminar y haz clic en el botón 'Eliminar cuenta'. Ten en cuenta que esto eliminará permanentemente la cuenta de Thunderbird y todos los correos electrónicos asociados con ella."
¿Cómo puedo configurar una respuesta automática en Mozilla Thunderbird?,"Para configurar una respuesta automática (fuera de la oficina) en Mozilla Thunderbird, puedes utilizar la extensión 'Vacation' o 'Reply With Header'. Estas extensiones te permitirán establecer un mensaje de respuesta automática y personalizar las opciones, como la duración y las direcciones de correo electrónico a las que se enviará la respuesta automática."
¿Cómo puedo importar correos electrónicos desde otro cliente de correo a Mozilla Thunderbird?,"Para importar correos electrónicos desde otro cliente de correo a Mozilla Thunderbird, ve a la configuración de Thunderbird, haz clic en 'Herramientas de desarrollo' y selecciona 'Importar'. Sigue el asistente de importación y selecciona el cliente de correo electrónico desde el que deseas importar los correos electrónicos. Thunderbird te guiará a través del proceso de importación."
¿Cómo puedo realizar una copia de seguridad de mis correos electrónicos en Mozilla Thunderbird?,"Para realizar una copia de seguridad de tus correos electrónicos en Mozilla Thunderbird, puedes copiar manualmente la carpeta de perfil de Thunderbird que contiene todos los datos de correo electrónico. La ubicación de la carpeta de perfil varía según el sistema operativo. También puedes utilizar herramientas de respaldo de terceros que facilitan la creación de copias de seguridad de los datos de Thunderbird, como extensiones o programas de respaldo específicos."
¿Cómo puedo actualizar mi sistema operativo a Windows 10?,"Para actualizar a Windows 10, sigue estos pasos: asegúrate de tener una copia de seguridad de tus archivos importantes, descarga la herramienta ""Asistente de actualización"" desde el sitio web de Microsoft, ejecuta la herramienta y sigue las instrucciones para realizar la actualización."
¿Cómo puedo cambiar el fondo de pantalla en Windows 10?,"Para cambiar el fondo de pantalla en Windows 10, haz clic derecho en el escritorio y selecciona 'Personalizar' en el menú contextual. Luego, elige una imagen de fondo de la galería de imágenes predeterminada o selecciona una imagen personalizada de tu computadora."
¿Cómo puedo desinstalar programas en Windows 10?,"Para desinstalar programas en Windows 10, ve al menú de inicio, selecciona 'Configuración' y luego 'Aplicaciones'. En la página 'Aplicaciones y características', busca el programa que deseas desinstalar, haz clic en él y selecciona 'Desinstalar'."
¿Cómo puedo configurar una conexión Wi-Fi en Windows 10?,"Para configurar una conexión Wi-Fi en Windows 10, haz clic en el icono de red en la barra de tareas, selecciona la red Wi-Fi a la que deseas conectarte y haz clic en 'Conectar'. Si es necesario, ingresa la contraseña de la red Wi-Fi para establecer la conexión."
¿Cómo puedo restablecer mi contraseña en Windows 10?,"Para restablecer tu contraseña en Windows 10, ve a la página de inicio de sesión y haz clic en '¿Olvidaste tu contraseña?' Se te guiará a través de un proceso para restablecer tu contraseña, que puede incluir responder preguntas de seguridad, recibir un código de verificación por correo electrónico o usar un dispositivo de confianza."
