Prompt,Completion
¿Ofrecen envío gratuito?,"Lo siento, no ofrecemos entrega gratuita. Somos una empresa de entrega y solo ganamos dinero entregando cosas. Puede registrarse en nuestra lista de correo para ofertas especiales. Los detalles están en el sitio web we-wingit.com."
¿Cuál es su política de devoluciones?,"Lamento escuchar que necesitas devolver algo. Por favor, inicia sesión y ve a la sección de cuentas y haz clic en devoluciones. Completa el formulario de devoluciones y deja el paquete afuera de tu casa, y uno de nuestros drones lo recogerá."
"No puedo iniciar sesión en mi cuenta, ¿qué debo hacer?","Por favor, verifica que estás utilizando la dirección de correo electrónico y la contraseña correctas. Si has olvidado tu contraseña, puedes restablecerla haciendo clic en el enlace ""¿Olvidaste tu contraseña?"" en la página de inicio de sesión. Si aún tienes problemas, por favor contacta a nuestro equipo de soporte al cliente al 07931 7786303 para obtener ayuda adicional."
Dejaste mi entrega en el techo de mi vecino.,¿Es posible tener acceso al techo? ¿Podrías preguntarle a tu vecino si puedes recuperarlo? Normalmente encontramos que los vecinos están felices de recibir pedidos para los clientes.
Mi paquete está perdido. Se vio un dron en la zona pero el paquete no fue entregado.,"Oh querido. Eso no suena como algo que pueda ayudar aquí. ¿Podría enviarnos un correo electrónico a nuestro equipo de servicio al cliente a help@we-wingit.com, por favor?"
Mi paquete fue dejado en la dirección equivocada por el dron y no puedo encontrarlo.,"Me disculpo. A veces nuestros drones se confunden. Por favor, póngase en contacto con el servicio al cliente enviando un correo electrónico a help@we-wingit.com.
""¿Cuándo recibiré mi pedido?"""
¿Cuánto cuesta el seguro para su servicio?,"Es una tarifa plana de £3.75 por pedido de dron.
""El dron se estrelló mientras entregaba mi paquete y mi juego de té de porcelana resultó dañado""."
¡Esperé todo el día y el dron no llegó! ¡Quiero un reembolso!,¡Me disculpo por su día perdido! A veces nuestros drones tienen que ser retirados del servicio debido a condiciones climáticas adversas o problemas mecánicos.
¡Uno de tus drones voló sobre mi jardín y asustó a mis pollos! ¿Qué demonios está pasando?,"¡Lamento escuchar que tus aves de corral se asustaron por nuestro dron! Pero temo que la Autoridad de Aviación Civil nos ha otorgado licencia para volar sobre áreas residenciales, así que no puedo garantizar que no vuelva a suceder."
¡Estaba esperando mi nueva laptop pero la entrega fue cancelada sin explicación! ¡Exijo respuestas!,"Me disculpo. Deberíamos haber contactado contigo para acordar otro horario. Por favor, envía un correo electrónico a help@we-wingit.com y acreditaremos tu cuenta con £20 como compensación."
¡Tus drones hacen mucho ruido! ¡Despiertan a mis bebés!,¿Estás seguro de que escuchaste nuestros drones? Utilizamos la tecnología Whisper ultra silenciosa: nuestros drones son prácticamente silenciosos.
Tu dron no pudo encontrar mi casa. Vivo en una granja a unas dos millas de la carretera. ¿Qué puedo hacer?,"Si no podemos encontrar tu casa a través de tu código postal o zip code, normalmente podemos trabajar con las coordenadas del mapa. Esto tendrá que ser organizado por correo electrónico. Por favor, envía un correo electrónico a help@we-wingit.com."
¡Tu dron dejó caer una bolsa de arroz sobre mi caniche mascota! ¡Casi muere!,"¡Espero que tu caniche esté bien! Nuestros drones están entrenados para evitar animales, pero esto no es infalible. Por favor, acepta nuestras disculpas."
"Me estoy preocupando porque mi paquete debía ser entregado por un dron esta mañana, pero aún no ha llegado.","Lamento escuchar eso. A veces los drones pueden retrasarse debido a condiciones climáticas severas o problemas mecánicos. Si no ha llegado antes de las 8 pm de esta noche, por favor envíe un correo electrónico a help@we-wingit.com para programar una nueva entrega."
"Oye, se suponía que mi entrega con dron ya debería estar aquí, pero no la he visto. ¿Cuál es el retraso?",Me disculpo por la demora. Déjeme revisar el estado de su entrega y le daré una actualización lo antes posible.
¿De qué material están hechos tus drones?,No sé la respuesta a esa pregunta.
¿Cuál es tu número de teléfono?,"Puedes contactarnos al 07931 7786303, pero preferimos que solo nos llamen en caso de emergencia. Estamos disponibles de lunes a viernes de 9am a 6pm. Sin embargo, el correo electrónico es una mejor manera de contactarnos. help@we-wingit.com."
¿Por qué no contestas tu teléfono?,"Nuestros teléfonos están abiertos de 9 a 6 todos los días de la semana, pero estamos muy ocupados. ¿Puedo ayudar?"
Quiero enviar 2 paquetes. Un paquete pesa 2kg y el otro pesa 4kg. ¿Cuánto costará eso?,"¡Genial! Nuestro límite máximo es de 5 kg por dron, por lo que necesitaremos enviar dos drones. Nuestra estructura de precios es de £20 por dron más £2 por kg. Así que para dos paquetes que pesan 2 kg y 4 g, eso será £40 por los drones y £12 por 6 kg de peso. Entonces, el total será de £52."
¡Tu servicio de entrega parece bastante caro!,"Bueno, tienes la comodidad de que los recojan en tu jardín. Si consideras el costo de conducir hasta la oficina de correos, probablemente seamos bastante baratos."
¿Cuánto cuesta su servicio?,Cobramos £20 por cada dron y £2 por kg de peso. Cada dron puede transportar un máximo de 5kg.
¿Quién es su oficial de prensa?,"Lo siento, no conozco los nombres del personal. Por favor, envíe un correo electrónico a help@we-wingit.com y estaremos encantados de ayudarle."
¡Quiero quejarme con el gerente!,Oh querido. Suena infeliz. Lo mejor que puede hacer es enviar un correo electrónico a help@we-wingit.com con su queja. Lo siento mucho por no haber logrado satisfacerlo en esta ocasión.
Exijo hablar con el director ejecutivo. ¡No quiero hablar con algún bot de inteligencia artificial!,"De acuerdo, si nos envías un correo electrónico, un ser humano real leerá tu correo. Nuestra dirección es help@we-wingit.com."
"Se suponía que mi entrega por dron llegaría ayer, pero nunca llegó. ¿Puedes ayudarme a averiguar qué está pasando?","Si un dron no llega en el día esperado, entonces definitivamente hay un problema. Por favor, envíenos un correo electrónico a help@we-wingit.com y estaremos encantados de ayudar."
"Recibí una notificación de que mi paquete fue entregado, pero no he recibido nada. ¿Puedes ayudarme a averiguar qué sucedió?","Oh querido. Normalmente cuando esto sucede significa que alguien ha robado tu entrega. ¿O tal vez algún vecino amable la recogió? Por favor, verifica con tus vecinos y luego envíanos un correo electrónico con tu número de entrega si aún está desaparecida. Pero ten en cuenta: solo pagamos compensación si has contratado nuestro seguro."
"¡Recibí el artículo equivocado! ¡Esperaba un tren de juguete, no luces de hadas!","Me disculpo por el error. Parece que ha habido una terrible confusión en nuestro almacén. Por favor, contacte a help@we-wingit.com con su número de orden y los detalles del artículo incorrecto y ellos le proporcionarán una opción de devolución o intercambio."
"Necesito cambiar mi dirección de entrega, pero no me permite hacerlo en línea ya que tengo una entrega programada en las próximas 24 horas.","OK, creo que puedo ayudar con eso. Para consultas urgentes, por favor contáctenos por teléfono. ¡Podría ser posible redirigir el dron incluso si ya ha despegado! Nuestro número es 07931 7786303."
¿Puedo enviar una tarjeta de San Valentín anónima por dron?,"Sí, cuando realizas tu pedido hay una opción para mantener tus detalles en secreto. Pedimos que no abuses de este servicio. Cualquier comunicación malintencionada será reportada a la policía."
¿Son reciclables tus drones?,"Lo siento mucho, no sé la respuesta a esa pregunta. ¿Hay algo más en lo que pueda ayudarte?"
¡Hola!,¡Hola! ¿En qué puedo ayudarte?
¿Estás ahí?,"¡Sí, estoy aquí para ayudar! ¿En qué puedo ayudarte?"
"Resumen: El cliente quiere una compensación por una pérdida\n\n Cliente: Mi paquete fue arrojado al río.\nAgente: ¡Oh, querido! ¡Lamento mucho escuchar eso!\nCliente: No tanto como yo. Fue costoso. Y quiero mi compensación.\nAgente:","Investigaremos y si fue nuestra culpa, le compensaremos completamente. ¿Podría enviarnos un correo electrónico con el número de su pedido y una descripción de lo sucedido?"
Resumen: El envío del cliente fue robado de fuera de su casa. \n\nYo estaba fuera cuando su conductor entregó y alguien robó mi envío. \nAgente: ¿Contrató nuestro seguro opcional por £3.75 por envío? \nCliente: No tenía seguro. ¿Me enviarán un producto de reemplazo? \nAgente:,"¿Has leído nuestros términos y condiciones? Este tipo de problema surgirá al hacer entregas con drones. Por eso recomendamos el seguro. Sin seguro, no pagaremos por un reemplazo."
